V(eV),I_baseline(arb.)
-2.000000000000000000e+00,3.327527598762404950e-49
-1.949999999999999956e+00,2.124293630826920629e-34
-1.899999999999999911e+00,6.358456583882738861e-34
-1.850000000000000089e+00,1.514241823436830308e-33
-1.800000000000000044e+00,3.384491777083197201e-33
-1.750000000000000000e+00,7.445642018259899717e-33
-1.699999999999999956e+00,1.641791433308941017e-32
-1.649999999999999911e+00,3.658579505124768441e-32
-1.600000000000000089e+00,8.313063620165775968e-32
-1.550000000000000044e+00,2.725915017647249317e-31
-1.500000000000000000e+00,9.191332871331356085e-29
-1.449999999999999956e+00,1.148313018219007165e-27
-1.399999999999999911e+00,8.149935821056120721e-27
-1.350000000000000089e+00,5.184033099648702137e-26
-1.299999999999999822e+00,3.192938209079571117e-25
-1.250000000000000000e+00,1.953785436952180228e-24
-1.199999999999999956e+00,1.193896856258302006e-23
-1.149999999999999911e+00,7.295517605880345930e-23
-1.100000000000000089e+00,4.459263894971012281e-22
-1.049999999999999822e+00,2.726575806091177662e-21
-1.000000000000000000e+00,1.667749928287646251e-20
-9.499999999999999556e-01,1.020496846746120109e-19
-8.999999999999999112e-01,6.246953747517583006e-19
-8.499999999999998668e-01,3.825691853409000580e-18
-7.999999999999998224e-01,2.343941470655652436e-17
-7.500000000000000000e-01,1.436777433086750814e-16
-6.999999999999999556e-01,8.811501871865733311e-16
-6.499999999999999112e-01,5.406804171010575248e-15
-5.999999999999998668e-01,3.319516395798391733e-14
-5.499999999999998224e-01,2.039229044818793172e-13
-5.000000000000000000e-01,1.253508931683075465e-12
-4.499999999999999556e-01,7.710291863617223862e-12
-3.999999999999999112e-01,4.745743150840944498e-11
-3.499999999999998668e-01,2.922995089318611091e-10
-2.999999999999998224e-01,1.801472589744996909e-09
-2.500000000000000000e-01,1.110857757346693258e-08
-1.999999999999999556e-01,6.851978703830449984e-08
-1.499999999999999112e-01,4.225397988740775236e-07
-9.999999999999986677e-02,2.601812348106005032e-06
-4.999999999999982236e-02,1.594710147132966533e-05
0.000000000000000000e+00,9.700924923105829606e-05
5.000000000000026645e-02,3.954495334474358837e-04
1.000000000000000888e-01,1.176147124131052442e-03
1.499999999999999112e-01,3.630760642436862626e-03
2.000000000000001776e-01,1.028308100821987217e-02
2.500000000000000000e-01,1.515356781031887250e-02
3.000000000000002665e-01,2.640674354494834675e-02
3.500000000000000888e-01,4.276235503333896543e-02
4.000000000000003553e-01,5.752399105840130811e-02
4.500000000000001776e-01,6.537252670144066968e-02
5.000000000000000000e-01,8.181766789257555184e-02
5.500000000000002665e-01,1.033547546421920149e-01
6.000000000000000888e-01,1.265437376290367011e-01
6.500000000000003553e-01,1.444558185133310579e-01
7.000000000000001776e-01,1.538980356593286081e-01
7.500000000000000000e-01,1.712794643295286745e-01
8.000000000000002665e-01,1.940286317267922167e-01
8.500000000000000888e-01,2.167604522615581009e-01
9.000000000000003553e-01,2.412428583479759026e-01
9.500000000000001776e-01,2.645407187577633046e-01
1.000000000000000000e+00,2.786707610067645224e-01
1.050000000000000266e+00,2.894219358887820115e-01
1.100000000000000089e+00,3.107845111054582943e-01
1.150000000000000355e+00,3.377701616873619028e-01
1.200000000000000178e+00,3.634495478344602071e-01
1.250000000000000000e+00,3.862057005645673224e-01
1.300000000000000266e+00,4.081881364956170821e-01
1.350000000000000089e+00,4.283049862177984446e-01
1.400000000000000355e+00,4.428831439893798905e-01
1.450000000000000178e+00,4.587873550847274551e-01
1.500000000000000000e+00,4.799354948344468630e-01
1.550000000000000266e+00,5.059506994241075306e-01
1.600000000000000089e+00,5.338124965740249639e-01
1.650000000000000355e+00,5.587616871242184757e-01
1.700000000000000178e+00,5.793807257614267403e-01
1.750000000000000000e+00,5.974312327995738858e-01
1.800000000000000266e+00,6.140503233119318782e-01
1.850000000000000089e+00,6.313881820898448183e-01
1.900000000000000355e+00,6.511089197513292293e-01
1.950000000000000178e+00,6.723488013959697529e-01
2.000000000000000000e+00,6.961725885617696674e-01
