V_list(eV),Current(arbitrary units)
-2.000000000000000000e+00,-3.343970918648368762e-02
-1.949999999999999956e+00,-2.056598570648741214e-02
-1.899999999999999911e+00,-1.219442249041340250e-02
-1.850000000000000089e+00,-5.197010937914058222e-03
-1.800000000000000044e+00,-9.829747996711941490e-06
-1.750000000000000000e+00,-3.853443118944354547e-07
-1.699999999999999956e+00,-5.830306090145892549e-08
-1.649999999999999911e+00,-8.627674503223537771e-09
-1.600000000000000089e+00,-2.612551084592998822e-09
-1.550000000000000044e+00,-9.011019813252017102e-10
-1.500000000000000000e+00,-2.520189301880615434e-10
-1.449999999999999956e+00,-1.052872231710787467e-10
-1.399999999999999911e+00,-4.652924308453356990e-11
-1.350000000000000089e+00,-1.682640307497563738e-11
-1.299999999999999822e+00,-8.207082880454099628e-12
-1.250000000000000000e+00,-4.134107159894019198e-12
-1.199999999999999956e+00,-1.724266059402815493e-12
-1.149999999999999911e+00,-9.100892632260252598e-13
-1.100000000000000089e+00,-4.733113771511026869e-13
-1.049999999999999822e+00,-1.583463458485463457e-13
-1.000000000000000000e+00,0.000000000000000000e+00
-9.499999999999999556e-01,1.583463458485463457e-13
-8.999999999999999112e-01,4.733113771511026869e-13
-8.499999999999998668e-01,9.100892632260252598e-13
-7.999999999999998224e-01,1.724266059402815493e-12
-7.500000000000000000e-01,4.134107159894019198e-12
-6.999999999999999556e-01,8.207082880454099628e-12
-6.499999999999999112e-01,1.682640307497563738e-11
-5.999999999999998668e-01,4.652924308453356990e-11
-5.499999999999998224e-01,1.052872231710787467e-10
-5.000000000000000000e-01,2.520189301880615434e-10
-4.499999999999999556e-01,9.011019813252017102e-10
-3.999999999999999112e-01,2.612551084592998822e-09
-3.499999999999998668e-01,8.627674503223537771e-09
-2.999999999999998224e-01,5.830306090145892549e-08
-2.500000000000000000e-01,3.853443118944354547e-07
-1.999999999999999556e-01,9.829747996711941490e-06
-1.499999999999999112e-01,5.197010937914058222e-03
-9.999999999999986677e-02,1.219442249041340250e-02
-4.999999999999982236e-02,2.056598570648741214e-02
0.000000000000000000e+00,3.343970918648368762e-02
5.000000000000026645e-02,4.411296205801731179e-02
1.000000000000000888e-01,5.547576112470112286e-02
1.499999999999999112e-01,7.152390971573034661e-02
2.000000000000001776e-01,8.415824287161596806e-02
2.500000000000000000e-01,9.726254374063102170e-02
3.000000000000002665e-01,1.154050301280052926e-01
3.500000000000000888e-01,1.294661412540218104e-01
4.000000000000003553e-01,1.438752780130407860e-01
4.500000000000001776e-01,1.635722522539092838e-01
5.000000000000000000e-01,1.786749060444761950e-01
5.500000000000002665e-01,1.940391518395057358e-01
6.000000000000000888e-01,2.149083669670087682e-01
6.500000000000003553e-01,2.308339449981393898e-01
7.000000000000001776e-01,2.469828818678239946e-01
7.500000000000000000e-01,2.688437823823726092e-01
8.000000000000002665e-01,2.854712663691909569e-01
8.500000000000000888e-01,3.022841901465390668e-01
9.000000000000003553e-01,3.249699829738985635e-01
9.500000000000001776e-01,3.421723201197722219e-01
1.000000000000000000e+00,3.595260805206831889e-01
1.050000000000000266e+00,3.828880735482178554e-01
1.100000000000000089e+00,4.005702975188586423e-01
1.150000000000000355e+00,4.183854413615393231e-01
1.200000000000000178e+00,4.423391257512608865e-01
1.250000000000000000e+00,4.604495957391245287e-01
1.300000000000000266e+00,4.786800253342332057e-01
1.350000000000000089e+00,5.031661568365224380e-01
1.400000000000000355e+00,5.216587332285387291e-01
1.450000000000000178e+00,5.402555543786451420e-01
1.500000000000000000e+00,5.652052303133482392e-01
1.550000000000000266e+00,5.840272200892617782e-01
1.600000000000000089e+00,6.029389766744698287e-01
1.650000000000000355e+00,6.219372582687578976e-01
1.700000000000000178e+00,6.473983295800797011e-01
1.750000000000000000e+00,6.665888780918246548e-01
1.800000000000000266e+00,6.858586402068701515e-01
1.850000000000000089e+00,7.116720702379585317e-01
1.900000000000000355e+00,7.311203336852595269e-01
1.950000000000000178e+00,7.506422262880858565e-01
2.000000000000000000e+00,7.767825249430803103e-01
