V(eV),Current(arb.)
-2.000000000000000000e+00,-4.795337648185597969e-17
-1.949999999999999956e+00,-4.429321105459202521e-17
-1.899999999999999911e+00,-4.629248486678895895e-17
-1.850000000000000089e+00,-4.838550693379758490e-17
-1.800000000000000044e+00,-4.469106706458126293e-17
-1.750000000000000000e+00,-4.670778556116735069e-17
-1.699999999999999956e+00,-4.881899862500368825e-17
-1.649999999999999911e+00,-4.509000806168759658e-17
-1.600000000000000089e+00,-4.712397748720332101e-17
-1.550000000000000044e+00,-4.925285160237059893e-17
-1.500000000000000000e+00,-4.548816902188485280e-17
-1.449999999999999956e+00,-4.753767755705800453e-17
-1.399999999999999911e+00,-4.968032708633383081e-17
-1.350000000000000089e+00,-4.587323804180335424e-17
-1.299999999999999822e+00,-4.792624046627689223e-17
-1.250000000000000000e+00,-5.005492319845445249e-17
-1.199999999999999956e+00,-4.615737373981350611e-17
-1.149999999999999911e+00,-4.812138436914667989e-17
-1.100000000000000089e+00,-5.001252240563155283e-17
-1.049999999999999822e+00,-4.561818843884988451e-17
-1.000000000000000000e+00,-4.666391366677574230e-17
-9.499999999999999556e-01,-4.618028906158377771e-17
-8.999999999999999112e-01,-3.714006928787458801e-17
-8.499999999999998668e-01,-2.819922172243988387e-17
-7.999999999999998224e-01,0.000000000000000000e+00
-7.500000000000000000e-01,6.721659617693953108e-17
-6.999999999999999556e-01,2.138162973319748631e-16
-6.499999999999999112e-01,6.663523028991086445e-16
-5.999999999999998668e-01,1.728828738407675941e-15
-5.499999999999998224e-01,4.528335181021834228e-15
-5.000000000000000000e-01,1.445808144541827908e-14
-4.499999999999999556e-01,4.159260357183716158e-14
-3.999999999999999112e-01,1.271249627457354020e-13
-3.499999999999998668e-01,5.079197470553185839e-13
-2.999999999999998224e-01,1.852394927685455552e-12
-2.500000000000000000e-01,7.565989104137837769e-12
-1.999999999999999556e-01,4.646530245314501473e-11
-1.499999999999999112e-01,2.791397959256501019e-10
-9.999999999999986677e-02,2.315683024728748600e-09
-4.999999999999982236e-02,5.847267573058225798e-08
0.000000000000000000e+00,1.972510570956582785e-05
5.000000000000026645e-02,1.014091461056879952e-02
1.000000000000000888e-01,3.135652402724723592e-02
1.499999999999999112e-01,5.402966905928981156e-02
2.000000000000001776e-01,7.950095104605073293e-02
2.500000000000000000e-01,1.119483548917515614e-01
3.000000000000002665e-01,1.419932264846314462e-01
3.500000000000000888e-01,1.734989132412837476e-01
4.000000000000003553e-01,2.117576655959116927e-01
4.500000000000001776e-01,2.461475235160048847e-01
5.000000000000000000e-01,2.814738783430801305e-01
5.500000000000002665e-01,3.235961241408895073e-01
6.000000000000000888e-01,3.610063549152394136e-01
6.500000000000003553e-01,3.990715290400033144e-01
7.000000000000001776e-01,4.440295658668556023e-01
7.500000000000000000e-01,4.837110078428332183e-01
8.000000000000002665e-01,5.238619317091071093e-01
8.500000000000000888e-01,5.709996790463581773e-01
9.000000000000003553e-01,6.124582470122647004e-01
9.500000000000001776e-01,6.542592762569201525e-01
1.000000000000000000e+00,7.031322712005173559e-01
1.050000000000000266e+00,7.460205109001210033e-01
1.100000000000000089e+00,7.891524724883268727e-01
1.150000000000000355e+00,8.394243889806562997e-01
1.200000000000000178e+00,8.834751519796482100e-01
1.250000000000000000e+00,9.276933745604056814e-01
1.300000000000000266e+00,9.791075908777464587e-01
1.350000000000000089e+00,1.024113592747432966e+00
1.400000000000000355e+00,1.069223060378797330e+00
1.450000000000000178e+00,1.121568359871569553e+00
1.500000000000000000e+00,1.167353820115512031e+00
1.550000000000000266e+00,1.213187983520320090e+00
1.600000000000000089e+00,1.266285391044611019e+00
1.650000000000000355e+00,1.312701548357916081e+00
1.700000000000000178e+00,1.359119102065428519e+00
1.750000000000000000e+00,1.412814431516298486e+00
1.800000000000000266e+00,1.459728577930313742e+00
1.850000000000000089e+00,1.506600262547949542e+00
1.900000000000000355e+00,1.560750252490438861e+00
1.950000000000000178e+00,1.608037831442836962e+00
2.000000000000000000e+00,1.655242851013068117e+00
