V(eV),Current(arb.)
-2.000000000000000000e+00,-4.797301375934619546e-17
-1.949999999999999956e+00,-4.431133436434142844e-17
-1.899999999999999911e+00,-4.631153202484212222e-17
-1.850000000000000089e+00,-4.840552658693847181e-17
-1.800000000000000044e+00,-4.470954216935095385e-17
-1.750000000000000000e+00,-4.672720211783250882e-17
-1.699999999999999956e+00,-4.883940619007075890e-17
-1.649999999999999911e+00,-4.510884001923000106e-17
-1.600000000000000089e+00,-4.714376871576705408e-17
-1.550000000000000044e+00,-4.927365248962358795e-17
-1.500000000000000000e+00,-4.550736250479619962e-17
-1.449999999999999956e+00,-4.755784790588518947e-17
-1.399999999999999911e+00,-4.970152486854407879e-17
-1.350000000000000089e+00,-4.589279412239141774e-17
-1.299999999999999822e+00,-4.794678744116345695e-17
-1.250000000000000000e+00,-5.007650651096603937e-17
-1.199999999999999956e+00,-4.617726417782131272e-17
-1.149999999999999911e+00,-4.814224726469977115e-17
-1.100000000000000089e+00,-5.003434864401692188e-17
-1.049999999999999822e+00,-4.563811494618453250e-17
-1.000000000000000000e+00,-4.668446563664846644e-17
-9.499999999999999556e-01,-4.620084844109949112e-17
-8.999999999999999112e-01,-3.715673294252690678e-17
-8.499999999999998668e-01,-2.821209085211986436e-17
-7.999999999999998224e-01,0.000000000000000000e+00
-7.500000000000000000e-01,6.724888881055874257e-17
-6.999999999999999556e-01,2.139227658319543829e-16
-6.499999999999999112e-01,6.667006077075647417e-16
-5.999999999999998668e-01,1.729776864542306896e-15
-5.499999999999998224e-01,4.530956081021130432e-15
-5.000000000000000000e-01,1.446703594577042684e-14
-4.499999999999999556e-01,4.162007478988348622e-14
-3.999999999999999112e-01,1.272150165615563034e-13
-3.499999999999998668e-01,5.083130728370794505e-13
-2.999999999999998224e-01,1.853959881444015900e-12
-2.500000000000000000e-01,7.573047853420273388e-12
-1.999999999999999556e-01,4.651499422252045453e-11
-1.499999999999999112e-01,2.794863605059602742e-10
-9.999999999999986677e-02,2.319201699725209503e-09
-4.999999999999982236e-02,5.860564433209476618e-08
0.000000000000000000e+00,1.996725759417415118e-05
5.000000000000026645e-02,1.128697588036791516e-02
1.000000000000000888e-01,3.372804783343824608e-02
1.499999999999999112e-01,5.752491548480212491e-02
2.000000000000001776e-01,8.398024764719899671e-02
2.500000000000000000e-01,1.175444300325391572e-01
3.000000000000002665e-01,1.485932505811371207e-01
3.500000000000000888e-01,1.810490752370943479e-01
4.000000000000003553e-01,2.203466121573604275e-01
4.500000000000001776e-01,2.556376595367092497e-01
5.000000000000000000e-01,2.918549058922682016e-01
5.500000000000002665e-01,3.350048089372830717e-01
6.000000000000000888e-01,3.733031700469469083e-01
6.500000000000003553e-01,4.122115870895872725e-01
7.000000000000001776e-01,4.581229208240547579e-01
7.500000000000000000e-01,4.986525749066694768e-01
8.000000000000002665e-01,5.396368649050183874e-01
8.500000000000000888e-01,5.877284198013548178e-01
9.000000000000003553e-01,6.300258525196635873e-01
9.500000000000001776e-01,6.726326468272655346e-01
1.000000000000000000e+00,7.224148747516538904e-01
1.050000000000000266e+00,7.661138527723956315e-01
1.100000000000000089e+00,8.100403277495806798e-01
1.150000000000000355e+00,8.612217845410525818e-01
1.200000000000000178e+00,9.060868098392622638e-01
1.250000000000000000e+00,9.510953450275682064e-01
1.300000000000000266e+00,1.003399218393407066e+00
1.350000000000000089e+00,1.049198644051724916e+00
1.400000000000000355e+00,1.095081830856377003e+00
1.450000000000000178e+00,1.148306820880005130e+00
1.500000000000000000e+00,1.194887976219541903e+00
1.550000000000000266e+00,1.241502887750927542e+00
1.600000000000000089e+00,1.295483341733107974e+00
1.650000000000000355e+00,1.342692551555010549e+00
1.700000000000000178e+00,1.389883558537829078e+00
1.750000000000000000e+00,1.444449569899947994e+00
1.800000000000000266e+00,1.492150130605079728e+00
1.850000000000000089e+00,1.539795788892981410e+00
1.900000000000000355e+00,1.594822643090456404e+00
1.950000000000000178e+00,1.642905515015415041e+00
2.000000000000000000e+00,1.690893734171259100e+00
