E(eV),T(E)
-1.000000000000000000e+01,1.032512136677465505e-16
-9.949874686716791317e+00,1.091312646199664111e-16
-9.899749373433584410e+00,1.154037103418616831e-16
-9.849624060150375726e+00,1.220988098300473573e-16
-9.799498746867168819e+00,1.292494872070914084e-16
-9.749373433583960136e+00,1.368915972029626353e-16
-9.699248120300751452e+00,1.450642202948031518e-16
-9.649122807017544545e+00,1.538099911939649717e-16
-9.598997493734335862e+00,1.631754648769483968e-16
-9.548872180451127178e+00,1.732115249414311748e-16
-9.498746867167920271e+00,1.839738397426915523e-16
-9.448621553884711588e+00,1.955233725446499751e-16
-9.398496240601502905e+00,2.079269528210025546e-16
-9.348370927318295998e+00,2.212579168869171989e-16
-9.298245614035087314e+00,2.355968272554582486e-16
-9.248120300751880407e+00,2.510322815249892124e-16
-9.197994987468671724e+00,2.676618232505073380e-16
-9.147869674185463040e+00,2.855929691751280677e-16
-9.097744360902256133e+00,3.049443694495639051e-16
-9.047619047619047450e+00,3.258471201085437456e-16
-8.997493734335840543e+00,3.484462501780544918e-16
-8.947368421052631859e+00,3.729024094454906039e-16
-8.897243107769423176e+00,3.993937872449331424e-16
-8.847117794486216269e+00,4.281182977236920151e-16
-8.796992481203007586e+00,4.592960731245572574e-16
-8.746867167919798902e+00,4.931723138374467720e-16
-8.696741854636591995e+00,5.300205525849861362e-16
-8.646616541353383312e+00,5.701464004051613893e-16
-8.596491228070174628e+00,6.138918544457852420e-16
-8.546365914786967721e+00,6.616402624426635099e-16
-8.496240601503759038e+00,7.138220566778048456e-16
-8.446115288220552131e+00,7.709213919067262676e-16
-8.395989974937343447e+00,8.334838480823535722e-16
-8.345864661654134764e+00,9.021253907893286699e-16
-8.295739348370927857e+00,9.775428215286722042e-16
-8.245614035087719174e+00,1.060525998121669162e-15
-8.195488721804512267e+00,1.151972164778250081e-15
-8.145363408521303583e+00,1.252902804670919765e-15
-8.095238095238094900e+00,1.364483518858712127e-15
-8.045112781954887993e+00,1.488047548884614024e-15
-7.994987468671679309e+00,1.625123702512192429e-15
-7.944862155388471514e+00,1.777469620955439277e-15
-7.894736842105263719e+00,1.947111552205232180e-15
-7.844611528822055035e+00,2.136392082693559656e-15
-7.794486215538847240e+00,2.348027647218880783e-15
-7.744360902255639445e+00,2.585178109764091815e-15
-7.694235588972430762e+00,2.851531319257323125e-15
-7.644110275689222966e+00,3.151406340226251553e-15
-7.593984962406015171e+00,3.489880101358424595e-15
-7.543859649122807376e+00,3.872943581760647141e-15
-7.493734335839599581e+00,4.307695485821625642e-15
-7.443609022556390897e+00,4.802583812649266423e-15
-7.393483709273183102e+00,5.367709046074648627e-15
-7.343358395989975307e+00,6.015207222231762329e-15
-7.293233082706766623e+00,6.759737376329173973e-15
-7.243107769423558828e+00,7.619106567343517108e-15
-7.192982456140351033e+00,8.615077929655272455e-15
-7.142857142857143238e+00,9.774424666847946042e-15
-7.092731829573935443e+00,1.113031813520693175e-14
-7.042606516290726759e+00,1.272417513879452360e-14
-6.992481203007518964e+00,1.460814458415668158e-14
-6.942355889724311169e+00,1.684849692977460637e-14
-6.892230576441102485e+00,1.953030828336520917e-14
-6.842105263157894690e+00,2.276403307836250332e-14
-6.791979949874686895e+00,2.669488449027158942e-14
-6.741854636591479100e+00,3.151647844163672623e-14
-6.691729323308271304e+00,3.749110777977537573e-14
-6.641604010025062621e+00,4.498060804704333414e-14
-6.591478696741854826e+00,5.449467035958868319e-14
-6.541353383458647031e+00,6.676892704784775848e-14
-6.491228070175438347e+00,8.289597272281592874e-14
-6.441102756892230552e+00,1.045551660933287051e-13
-6.390977443609022757e+00,1.344377324439866291e-13
-6.340852130325814962e+00,1.770861687674337658e-13
-6.290726817042607166e+00,2.406932354897194345e-13
